iter	RMSE
0	2.939859934
1	2.799025991
2	2.655969745
3	2.531293753
4	2.427168568
5	2.308013598
6	2.192602883
7	2.092505722
8	2.006232093
9	1.933674454
10	1.855087214
11	1.779616196
12	1.720492875
13	1.66528085
14	1.609445211
15	1.561071843
16	1.510766032
17	1.463112935
18	1.426141964
19	1.382376052
20	1.352876894
21	1.31429082
22	1.284541034
23	1.250376022
24	1.221724196
25	1.194950848
26	1.170888304
27	1.149264931
28	1.124385475
29	1.103643362
30	1.082855336
31	1.065017435
32	1.050726983
33	1.029010718
34	1.014614015
35	0.9993900597
36	0.9864329444
37	0.9744120804
38	0.9617333452
39	0.9473413395
40	0.9340926842
41	0.9234502993
42	0.9143697723
43	0.9021824343
44	0.8970652855
45	0.8887912286
46	0.8807785246
47	0.8726318848
48	0.8672083867
49	0.8578039264
50	0.8512876451
51	0.8466588073
52	0.8414499834
53	0.8368003522
54	0.8296000176
55	0.8252599526
56	0.8191322572
57	0.8139121774
58	0.8064644468
59	0.801395193
60	0.7963892085
61	0.7914900376
62	0.7866897302
63	0.7827413767
64	0.7778531478
65	0.773444235
66	0.7689409004
67	0.7653685197
68	0.7617332344
69	0.7594390784
70	0.7539804771
71	0.7507570318
72	0.7459684416
73	0.7414531627
74	0.7390093149
75	0.7362766314
76	0.7337690544
77	0.7296287411
78	0.7273434934
79	0.7230080523
80	0.720643239
81	0.7178422666
82	0.7163676582
83	0.7124033331
84	0.7088039182
85	0.7061646614
86	0.7033536603
87	0.7001356741
88	0.6959109045
89	0.6928643374
90	0.689221175
91	0.6850985241
92	0.6819984405
93	0.6774319983
94	0.672925144
95	0.6713807782
96	0.6673144569
97	0.6628134712
98	0.6615989264
99	0.6605872251
