iter	Passed	Remaining
0	0	93
1	1	57
2	1	44
3	1	39
4	1	35
5	2	31
6	2	29
7	2	27
8	2	26
9	2	26
10	3	25
11	3	24
12	3	23
13	3	22
14	3	21
15	4	21
16	4	20
17	4	20
18	4	19
19	4	19
20	4	18
21	5	18
22	5	17
23	5	17
24	5	17
25	5	16
26	6	16
27	6	16
28	6	15
29	6	15
30	7	16
31	7	16
32	7	16
33	8	15
34	8	15
35	8	15
36	8	14
37	8	14
38	9	14
39	9	13
40	9	13
41	9	13
42	9	13
43	10	12
44	10	12
45	10	12
46	10	11
47	10	11
48	11	11
49	11	11
50	11	10
51	11	10
52	11	10
53	12	10
54	12	9
55	12	9
56	12	9
57	12	9
58	12	9
59	13	8
60	13	8
61	13	8
62	13	8
63	13	7
64	14	7
65	14	7
66	14	7
67	14	6
68	14	6
69	15	6
70	15	6
71	15	6
72	15	5
73	15	5
74	16	5
75	16	5
76	16	4
77	16	4
78	16	4
79	17	4
80	17	4
81	17	3
82	17	3
83	17	3
84	17	3
85	18	2
86	18	2
87	18	2
88	18	2
89	18	2
90	19	1
91	19	1
92	19	1
93	19	1
94	19	1
95	20	0
96	20	0
97	20	0
98	20	0
99	20	0
